stock_code,data_type,rows,first_date,last_date,actual_periods,expected_periods,note
01177,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
01177,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
01177,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
01177,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
01177,weekly_kline,867,2010-01-08,2026-08-14,867.0,867.0,周期完整度 867/867
01177,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
01951,daily_kline,1762,2019-06-25,2026-08-20,1762.0,1762.0,周期完整度 1762/1762
01951,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
01951,institutional_holdings,32,,,,,
01951,monthly_kline,86,2019-06-30,2026-07-31,86.0,86.0,周期完整度 86/86
01951,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
01951,quarterly_kline,29,2019-06-30,2026-06-30,29.0,29.0,周期完整度 29/29
01951,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
01951,weekly_kline,373,2019-06-28,2026-08-14,373.0,373.0,周期完整度 373/373
01951,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
02202,daily_kline,2980,2014-06-25,2026-08-20,2980.0,2991.0,周期完整度 2980/2991
02202,daily_moneyflow,1355,2021-02-03,2026-08-20,1355.0,,
02202,institutional_holdings,90,,,,,
02202,monthly_kline,146,2014-06-30,2026-07-31,146.0,146.0,周期完整度 146/146
02202,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
02202,quarterly_kline,49,2014-06-30,2026-06-30,49.0,49.0,周期完整度 49/49
02202,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
02202,weekly_kline,632,2014-06-27,2026-08-14,632.0,634.0,周期完整度 632/634
02202,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
02602,daily_kline,0,,,0.0,0.0,无数据
02602,daily_moneyflow,0,,,0.0,0.0,无数据
02602,institutional_holdings,0,,,0.0,0.0,无数据
02602,monthly_kline,0,,,0.0,0.0,无数据
02602,monthly_moneyflow,0,,,0.0,0.0,无数据
02602,quarterly_kline,0,,,0.0,0.0,无数据
02602,quarterly_moneyflow,0,,,0.0,0.0,无数据
02602,weekly_kline,0,,,0.0,0.0,无数据
02602,weekly_moneyflow,0,,,0.0,0.0,无数据
02611,daily_kline,2281,2017-04-11,2026-08-20,2281.0,2302.0,周期完整度 2281/2302
02611,daily_moneyflow,1338,2021-02-03,2026-08-20,1338.0,,
02611,institutional_holdings,45,,,,,
02611,monthly_kline,112,2017-04-30,2026-07-31,112.0,112.0,周期完整度 112/112
02611,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
02611,quarterly_kline,37,2017-06-30,2026-06-30,37.0,37.0,周期完整度 37/37
02611,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
02611,weekly_kline,484,2017-04-14,2026-08-14,484.0,488.0,周期完整度 484/488
02611,weekly_moneyflow,285,2021-02-05,2026-08-14,285.0,,
03033,daily_kline,1468,2020-08-28,2026-08-20,1468.0,1468.0,周期完整度 1468/1468
03033,daily_moneyflow,1312,2021-04-19,2026-08-20,1312.0,,
03033,institutional_holdings,0,,,0.0,0.0,无数据
03033,monthly_kline,72,2020-08-31,2026-07-31,72.0,72.0,周期完整度 72/72
03033,monthly_moneyflow,66,2021-04-01,2026-07-31,66.0,,
03033,quarterly_kline,24,2020-09-30,2026-06-30,24.0,24.0,周期完整度 24/24
03033,quarterly_moneyflow,21,2021-06-30,2026-06-30,21.0,,
03033,weekly_kline,312,2020-08-28,2026-08-14,312.0,312.0,周期完整度 312/312
03033,weekly_moneyflow,278,2021-04-23,2026-08-14,278.0,,
03800,daily_kline,3944,2010-01-04,2026-08-20,3944.0,4092.0,周期完整度 3944/4092
03800,daily_moneyflow,1213,2021-02-03,2026-08-20,1213.0,,
03800,institutional_holdings,75,,,,,
03800,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
03800,monthly_moneyflow,61,2021-02-01,2026-07-31,61.0,,
03800,quarterly_kline,64,2010-03-31,2026-06-30,64.0,66.0,周期完整度 64/66
03800,quarterly_moneyflow,20,2021-03-31,2026-06-30,20.0,,
03800,weekly_kline,837,2010-01-08,2026-08-14,837.0,867.0,周期完整度 837/867
03800,weekly_moneyflow,258,2021-02-05,2026-08-14,258.0,,
06060,daily_kline,2186,2017-09-28,2026-08-20,2186.0,2186.0,周期完整度 2186/2186
06060,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
06060,institutional_holdings,36,,,,,
06060,monthly_kline,107,2017-09-30,2026-07-31,107.0,107.0,周期完整度 107/107
06060,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
06060,quarterly_kline,36,2017-09-30,2026-06-30,36.0,36.0,周期完整度 36/36
06060,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
06060,weekly_kline,464,2017-09-29,2026-08-14,464.0,464.0,周期完整度 464/464
06060,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
