week_end,n_selected,portfolio_return,turnover,gross_turnover,equity
2023-05-26,5,-0.06145576,0.003015104166666667,0.7291666666666666,0.642291423982884
2023-06-02,5,0.04184359,0.0,0.0,0.6691672029885399
2023-06-09,5,-0.01261793,0.0,0.0,0.6607236980629347
2023-06-16,5,0.0374656,0.0006645535714285717,0.16071428571428575,0.6854781078450815
2023-06-23,5,-0.07329553,0.0,0.0,0.635235626627179
2023-06-30,5,0.01944127,0.0006645535714285716,0.16071428571428575,0.6475854139580571
2023-07-07,5,-0.03362061,0.0,0.0,0.6258131973136847
2023-07-14,5,0.04294251,0.0,0.0,0.6526871867974596
2023-07-21,5,-0.03454283,0.0,0.0,0.6301415242607368
2023-07-28,5,0.04865101,0.0,0.0,0.660798545858961
2023-08-04,5,-0.01676966,0.0,0.0,0.6497171789164118
2023-08-11,5,-0.05185314,0.0,0.0,0.6160273030776541
2023-08-18,5,-0.04887586,0.0019382812499999995,0.4687499999999998,0.585918438856253
2023-08-25,4,-0.00294833,0.003588867924528302,0.8679245283018868,0.58419095794542
2023-09-01,4,0.01276693,0.000902181818181818,0.21818181818181814,0.591649283012142
2023-09-08,4,-0.00779019,0.0,0.0,0.5870402226841137
2023-09-15,5,0.00211945,0.0006125925925925932,0.14814814814814825,0.5882844250840815
2023-09-22,4,-0.02019724,0.000612592592592593,0.14814814814814825,0.5764027033623963
2023-09-29,4,-0.00134483,0.0,0.0,0.5756275397148335
2023-10-06,4,-0.02365073,0.0006432222222222221,0.1555555555555555,0.5620135281924737
2023-10-13,4,0.00167737,0.0,0.0,0.5629562328242579
2023-10-20,4,-0.02128659,0.000643222222222222,0.1555555555555555,0.5509728143081833
2023-10-27,4,-0.00858771,0.0,0.0,0.5462412195610208
2023-11-03,4,0.00924191,0.0,0.0,0.551289531750494
2023-11-10,4,-0.00353677,0.0,0.0,0.5493397474732848
2023-11-17,4,0.00744133,0.0,0.0,0.5534275658163502
2023-11-24,3,-0.0065948,0.001654,0.39999999999999997,0.5497778217053045
2023-12-01,3,-0.03270554,0.0006891666666666667,0.16666666666666669,0.5317970411664088
2023-12-08,3,-0.05118571,0.0007383928571428572,0.17857142857142855,0.5045766320384069
2023-12-15,3,0.00831516,0.0012221674876847295,0.29556650246305427,0.5087722674660673
