date,close,volume,chg1d,ma5,ma20,chg5d,chg20d,dd_from_peak,w_signal,m_state,s_regime,f_state,daily_state,d_flow_z,mtf_regime,action_signal,risk_level,align_method,catalyst_score,target_now,position_eff
2026-06-26,2.26,15904476.0,-0.017391304347826098,2.31,2.45,-0.0423728813559322,-0.15037593984962416,-0.2097902097902098,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.893930178961216,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-06-29,2.29,9084532.0,0.013274336283185972,2.3,2.433,-0.02136752136752129,-0.12927756653992395,-0.19930069930069927,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.21873748735750523,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-06-30,2.26,9562200.0,-0.013100436681222849,2.286,2.4155,-0.030042918454935785,-0.13409961685823757,-0.2097902097902098,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.00404457109115515,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-07-02,2.27,18748600.0,0.004424778761062065,2.276,2.401,-0.02155172413793094,-0.11328125,-0.20629370629370625,Breakdown,Stable,STRUCTURAL_BULLISH,F↓,DAILY_ACCUMULATION,0.28596273122458554,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-07-03,2.29,21504413.0,0.008810572687224738,2.274,2.3884999999999996,-0.004347826086956386,-0.09842519685039375,-0.19930069930069927,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-3.9033005040925883,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-06,2.34,6651538.0,0.02183406113537112,2.29,2.3805,0.03539823008849563,-0.06400000000000006,-0.18181818181818188,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.32902892689385993,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-07,2.3,14757298.0,-0.017094017094017144,2.292,2.3695,0.004366812227074135,-0.08730158730158732,-0.19580419580419584,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.905167039854233,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-08,2.3,11650240.0,0.0,2.3,2.36,0.017699115044247815,-0.07630522088353431,-0.19580419580419584,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.7474405320574641,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-09,2.29,5479466.0,-0.004347826086956386,2.304,2.348,0.008810572687224738,-0.09486166007905128,-0.19930069930069927,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.07423445245977858,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
2026-07-10,2.3,4920851.0,0.004366812227074135,2.306,2.337,0.004366812227074135,-0.08730158730158732,-0.19580419580419584,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.04992367405649482,BULLISH_STABLE,HOLD,High,matrix,-1.0,0.5,0.5
