module,prod_reachable,authority,decision_critical,decision
decision.feature_manifest,False,NONE,False,RESEARCH_ONLY
decision.field_lineage,False,NONE,False,RESEARCH_ONLY
decision.fsm_authority,True,NONE,False,MERGE
decision.governance,True,FINAL_TARGET,True,KEEP
decision.governance_caps,True,CAP,True,KEEP
decision.governance_card,False,NONE,False,RESEARCH_ONLY
decision.governance_proof,True,NONE,False,MERGE
decision.hard_exit,True,NONE,False,MERGE
decision.historical_integrity,False,NONE,False,RESEARCH_ONLY
decision.institutional_filter,False,NONE,False,RESEARCH_ONLY
decision.institutional_permission,True,RISK_UPPER_BOUND,True,KEEP
decision.object,False,NONE,False,RESEARCH_ONLY
decision.optimal_position,False,NONE,False,RESEARCH_ONLY
decision.participation_budget,True,NONE,False,MERGE
decision.path_hash,True,NONE,False,MERGE
decision.permission_gate,False,NONE,False,RESEARCH_ONLY
decision.permission_policy,True,NONE,False,MERGE
decision.position_scaling,False,NONE,False,RESEARCH_ONLY
decision.position_sizing,False,NONE,False,RESEARCH_ONLY
decision.reason_codes,False,NONE,False,RESEARCH_ONLY
decision.release_identity,False,NONE,False,RESEARCH_ONLY
decision.replay_cert,False,NONE,False,RESEARCH_ONLY
decision.replay_contract,False,NONE,False,RESEARCH_ONLY
decision.replay_engine,False,NONE,False,RESEARCH_ONLY
decision.retail,False,NONE,False,RESEARCH_ONLY
decision.retail_fsm,False,NONE,False,RESEARCH_ONLY
decision.retail_position_fsm,True,LIFECYCLE_PROPOSAL,True,KEEP
decision.retail_position_sizing,True,NONE,False,MERGE
decision.risk_evaluator,False,NONE,False,RESEARCH_ONLY
decision.schema_contract,False,NONE,False,RESEARCH_ONLY
decision.schema_registry,False,NONE,False,RESEARCH_ONLY
decision.score_calculator,False,NONE,False,RESEARCH_ONLY
decision.stability,False,NONE,False,RESEARCH_ONLY
decision.stop_loss,True,NONE,False,MERGE
decision.time_in_trade,True,NONE,False,MERGE
decision.trade_quality,True,NONE,False,MERGE
decision.types,False,NONE,False,RESEARCH_ONLY
decision.versions,True,NONE,False,MERGE
evaluation.challenger,False,NONE,False,RESEARCH_ONLY
evaluation.counterfactual_audit,False,NONE,False,RESEARCH_ONLY
evaluation.counterfactual_value,False,NONE,False,RESEARCH_ONLY
evaluation.decision_compression,False,NONE,False,RESEARCH_ONLY
evaluation.decision_cost_budget,False,NONE,False,RESEARCH_ONLY
evaluation.decision_stability_diag,False,NONE,False,RESEARCH_ONLY
